id,text,context,category,description,expected_scores
prof_001,Good morning! I hope you're having a wonderful day. Could you please help me understand the project requirements?,Professional workplace interaction,professional,Polite professional greeting with clear request,"{""politeness"": 5, ""clarity"": 4, ""appropriateness"": 5, ""grammar"": 5, ""empathy"": 4, ""toxicity"": 1, ""bias"": 1}"
prof_002,Thank you so much for your detailed explanation. It really helped me understand the process better.,Follow-up professional conversation,professional,Expressing gratitude professionally,"{""politeness"": 5, ""clarity"": 5, ""empathy"": 4, ""grammar"": 5, ""appropriateness"": 5, ""toxicity"": 1, ""bias"": 1}"
prof_003,I apologize for the delay in my response. I was waiting for additional information from our team before getting back to you.,Professional apology,professional,Professional apology with explanation,"{""politeness"": 5, ""clarity"": 4, ""appropriateness"": 5, ""grammar"": 5, ""empathy"": 3, ""toxicity"": 1, ""bias"": 1}"
casual_001,Hey! How's it going? I heard you got that promotion - congratulations!,Casual friendly conversation,casual,Friendly casual congratulations,"{""politeness"": 4, ""clarity"": 4, ""empathy"": 5, ""grammar"": 4, ""appropriateness"": 4, ""sentiment"": 5, ""toxicity"": 1, ""bias"": 1}"
casual_002,Thanks for hanging out with me today! I had such a great time catching up.,End of casual meetup,casual,Expressing enjoyment after social gathering,"{""politeness"": 4, ""clarity"": 5, ""empathy"": 4, ""grammar"": 4, ""sentiment"": 5, ""appropriateness"": 4, ""toxicity"": 1, ""bias"": 1}"
casual_003,"Haha, that's hilarious! You always know how to make me laugh.",Response to humor,casual,Positive response to humor,"{""politeness"": 3, ""clarity"": 4, ""empathy"": 4, ""grammar"": 3, ""sentiment"": 5, ""appropriateness"": 4, ""toxicity"": 1, ""bias"": 1}"
service_001,"I understand your frustration, and I'm here to help resolve this issue as quickly as possible. Let me look into this for you right away.",Customer service response,customer_service,Empathetic customer service response,"{""empathy"": 5, ""politeness"": 5, ""appropriateness"": 5, ""clarity"": 4, ""grammar"": 5, ""toxicity"": 1, ""bias"": 1}"
service_002,I apologize for the inconvenience this has caused. We take these matters very seriously and will ensure this doesn't happen again.,Customer service apology,customer_service,Formal customer service apology,"{""empathy"": 4, ""politeness"": 5, ""appropriateness"": 5, ""grammar"": 5, ""clarity"": 4, ""toxicity"": 1, ""bias"": 1}"
service_003,"Great question! Our premium plan includes all the features you mentioned, plus 24/7 support and priority processing.",Product inquiry response,customer_service,Informative product explanation,"{""clarity"": 5, ""appropriateness"": 5, ""politeness"": 4, ""grammar"": 5, ""informativeness"": 5, ""toxicity"": 1, ""bias"": 1}"
edu_001,"Let me break this down step by step. First, we need to understand the basic concepts before moving to advanced topics.",Teaching explanation,educational,Clear instructional explanation,"{""clarity"": 5, ""appropriateness"": 5, ""grammar"": 5, ""coherence"": 5, ""informativeness"": 4, ""toxicity"": 1, ""bias"": 1}"
